DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201114082,09/28/2020 12:00:00 AM,04/13/2020 12:00:00 AM,1000,11,Northeast,1123,1,310,BURGLARY,1402 0344 0397,29,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,998,,,2800    LOS FELIZ                    BL,,"341,267","-1,182,624"
200113596,06/18/2020 12:00:00 AM,06/18/2020 12:00:00 AM,200,1,Central,163,1,310,BURGLARY,0325 1402,0,X,X,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,998,,,700 S  HILL                         ST,,"340,459","-1,182,545"
200318033,09/29/2020 12:00:00 AM,09/17/2020 12:00:00 AM,1029,3,Southwest,333,1,310,BURGLARY,0344 0352 1607 1822,58,M,B,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,3800 W  JEFFERSON                    BL,,"340,256","-1,183,384"
200714510,10/02/2020 12:00:00 AM,10/01/2020 12:00:00 AM,1930,7,Wilshire,719,1,310,BURGLARY,1601 0344 1607,38,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,400 N  GOWER                        ST,,"340,798","-1,183,285"
200113580,06/18/2020 12:00:00 AM,05/30/2020 12:00:00 AM,345,1,Central,163,1,310,BURGLARY,1420 0352 0325 1609 0344 1822,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,300 W  8TH                          ST,,"340,438","-1,182,547"
200211365,06/15/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1200,2,Rampart,247,1,310,BURGLARY,0344 0377 0352 1202,81,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,400 S  BURLINGTON                   AV,,"340,605","-1,182,694"
200709987,05/31/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1,7,Wilshire,705,1,310,BURGLARY,1402 1609 1414 0325 0321 0601,65,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,7200 W  MELROSE                      AV,,"340,835","-1,183,462"
200811014,06/23/2020 12:00:00 AM,06/22/2020 12:00:00 AM,1700,8,West LA,885,1,310,BURGLARY,1822 0321 1607,51,F,W,118,CONSTRUCTION SITE,,,IC,Invest Cont,310,,,,10600    ESTHER                       AV,,"340,401","-1,184,205"
200312445,06/09/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1920,3,Southwest,325,1,310,BURGLARY,1402 0325 0329 1601 1822 0352 0321,19,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,2700 S  VERMONT                      AV,,"340,304","-1,182,915"
200804070,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,519,8,West LA,892,1,310,BURGLARY,0344 1402 1403 1822,24,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,310,998,,,2400    SAWTELLE                     BL,,"340,346","-1,184,381"
