AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,Cross Street,LAT,LON
3,Southwest,392,1,BURGLARY,19,X,X,2500 W  VERNON                       AV,,"340,037","-1,183,203"
3,Southwest,319,1,BURGLARY,0,X,X,2500 S  FIGUEROA                     ST,,"340,288","-1,182,756"
3,Southwest,363,1,BURGLARY,38,F,B,4000    PALMWOOD                     DR,,"340,132","-1,183,424"
4,Hollenbeck,491,1,BURGLARY,0,M,W,1700 S  SOTO                         ST,,"340,233","-1,182,222"
3,Southwest,377,1,BURGLARY,48,F,H,1200 W  38TH                         ST,,"340,173","-1,182,973"
3,Southwest,396,1,BURGLARY,38,M,B,800 W  MARTIN LUTHER KING JR        BL,,"340,111","-1,182,872"
3,Southwest,397,1,BURGLARY,32,F,W,4200 S  BUDLONG                      AV,,"340,073","-1,182,959"
3,Southwest,397,1,BURGLARY,19,X,X,4200 S  VERMONT                      AV,,"340,073","-118,298"
7,Wilshire,722,1,BURGLARY,0,F,W,8400    BEVERLY                      BL,,"340,761","-1,183,731"
3,Southwest,314,1,BURGLARY,37,F,B,3300 W  ADAMS                        BL,,"340,327","-1,183,201"
7,Wilshire,762,1,BURGLARY,76,M,W,5900    PICKFORD                     ST,,"340,478","-1,183,686"
4,Hollenbeck,497,1,BURGLARY,0,M,W,3300 E  OLYMPIC                      BL,,"340,191","-1,182,081"
4,Hollenbeck,488,1,BURGLARY,72,M,H,3200 E  8TH                          ST,,"340,238","-1,182,058"
4,Hollenbeck,448,1,BURGLARY,0,X,X,1500    MURCHISON                    ST,,"340,594","-1,181,958"
4,Hollenbeck,437,1,BURGLARY,0,X,X,4400    WORTH                        ST,,"340,627","-1,181,902"
6,Hollywood,643,1,BURGLARY,67,M,A,1700    CAMINO PALMERO               ST,,"341,016","-118,35"
4,Hollenbeck,439,1,BURGLARY,0,X,X,5100    VALLEY                       BL,,"340,712","-1,181,732"
1,Central,162,1,BURGLARY,0,M,W,700 S  GRAND                        AV,,"340,473","-1,182,566"
4,Hollenbeck,443,1,BURGLARY,0,M,W,1900    ZONAL                        AV,,"340,611","-1,182,086"
4,Hollenbeck,406,1,BURGLARY,78,F,H,4900    VIA MARISOL,,"341,011","-118,181"
4,Hollenbeck,429,1,BURGLARY,26,M,H,HUNTINGTON                   DR,POPLAR,"340,906","-1,181,648"
11,Northeast,1172,1,BURGLARY,77,M,W,2300    DUANE                        ST,,"340,911","-1,182,619"
2,Rampart,241,1,BURGLARY,51,F,H,400 S  LA FAYETTE PARK              PL,,"340,657","-1,182,815"
11,Northeast,1115,1,BURGLARY,0,X,X,2200    FAIR PARK                    AV,,"341,361","-118,215"
4,Hollenbeck,489,1,BURGLARY,0,X,X,1200 S  SOTO                         ST,,"340,281","-1,182,194"
4,Hollenbeck,478,1,BURGLARY,62,F,H,1100    INEZ                         ST,,"34,031","-1,182,015"
4,Hollenbeck,438,1,BURGLARY,0,M,W,5600    VALLEY                       BL,,"340,757","-1,181,711"
12,77th Street,1243,1,BURGLARY,62,F,H,6900 S  GRAMERCY                     PL,,"33,977","-1,183,133"
4,Hollenbeck,459,1,BURGLARY,41,M,H,3100    EAST SIDE                    BL,,"34,045","-1,181,956"
4,Hollenbeck,468,1,BURGLARY,68,M,H,200 S  CONCORD                      ST,,"340,364","-1,181,976"
4,Hollenbeck,489,1,BURGLARY,0,X,X,1200 S  SOTO                         ST,,"340,281","-1,182,194"
4,Hollenbeck,438,1,BURGLARY,24,M,A,4800    VALLEY                       BL,,"340,757","-1,181,711"
4,Hollenbeck,469,1,BURGLARY,58,M,O,500 S  LORENA                       ST,,"340,324","-118,198"
4,Hollenbeck,497,1,BURGLARY,0,F,O,3400    UNION PACIFIC                AV,,"340,165","-1,182,064"
4,Hollenbeck,455,1,BURGLARY,0,M,W,800 N  STATE                        ST,,"340,535","-1,182,129"
4,Hollenbeck,438,1,BURGLARY,40,M,H,4800    VALLEY                       BL,,"340,757","-1,181,711"
4,Hollenbeck,473,1,BURGLARY,0,M,W,600 S  SAINT LOUIS                  ST,,"340,391","-1,182,174"
4,Hollenbeck,438,1,BURGLARY,51,M,H,4800    VALLEY                       BL,,"340,757","-1,181,711"
4,Hollenbeck,438,1,BURGLARY,45,M,W,4800    VALLEY                       BL,,"340,757","-1,181,711"
4,Hollenbeck,407,1,BURGLARY,43,M,W,4500    HUNTINGTON DR,,"340,881","-1,181,877"
4,Hollenbeck,448,1,BURGLARY,0,X,X,2800    ALCAZAR                      ST,,"340,605","-1,181,937"
4,Hollenbeck,439,1,BURGLARY,0,M,W,4800    VALLEY                       BL,,"340,659","-1,181,801"
4,Hollenbeck,489,1,BURGLARY,0,M,W,1200 S  SOTO                         ST,,"340,281","-1,182,194"
4,Hollenbeck,457,1,BURGLARY,0,X,X,300 N  SOTO                         ST,,"340,468","-1,182,078"
4,Hollenbeck,459,1,BURGLARY,53,F,H,3100    WABASH                       AV,,"340,489","-1,181,944"
4,Hollenbeck,437,1,BURGLARY,0,X,X,4400    WORTH                        ST,,"340,627","-1,181,902"
4,Hollenbeck,404,1,BURGLARY,0,M,X,6700    MARMION                      WY,,"341,107","-1,181,794"
4,Hollenbeck,438,1,BURGLARY,44,M,H,4800    VALLEY                       BL,,"340,757","-1,181,711"
4,Hollenbeck,404,1,BURGLARY,33,F,H,6200    MONTEREY                     RD,,"341,078","-1,181,827"
4,Hollenbeck,471,1,BURGLARY,0,X,X,500 S  CLARENCE                     ST,,"340,409","-1,182,234"
3,Southwest,343,1,BURGLARY,0,X,X,3600 S  LA BREA                      AV,,"340,199","-1,183,608"
1,Central,162,1,BURGLARY,0,M,W,800 S  HOPE                         ST,,"340,466","-118,259"
9,Van Nuys,971,1,BURGLARY,63,F,B,14900    VENTURA                      BL,,"341,564","-118,463"
4,Hollenbeck,429,1,BURGLARY,0,X,X,5100 S  HUNTINGTON                   DR,,"340,865","-1,181,647"
4,Hollenbeck,497,1,BURGLARY,0,M,W,3000 E  WASHINGTON                   BL,,"340,161","-1,182,152"
4,Hollenbeck,437,1,BURGLARY,0,X,X,4400    WORTH                        ST,,"340,627","-1,181,902"
7,Wilshire,705,1,BURGLARY,54,M,W,600 N  ALTA VISTA                   BL,,"340,819","-1,183,474"
4,Hollenbeck,469,1,BURGLARY,24,M,H,3500 E  4TH                          ST,,"340,329","-1,181,944"
4,Hollenbeck,437,1,BURGLARY,0,X,X,4400    WORTH                        ST,,"340,627","-1,181,902"
4,Hollenbeck,438,1,BURGLARY,52,M,H,4800    VALLEY                       BL,,"340,757","-1,181,711"
4,Hollenbeck,402,1,BURGLARY,0,M,W,6700    MARMION                      WY,,"340,923","-1,181,978"
14,Pacific,1487,1,BURGLARY,-1,X,X,8600 S  SEPULVEDA                    BL,,"339,598","-1,183,962"
4,Hollenbeck,463,1,BURGLARY,74,F,H,400 N  SAINT LOUIS                  ST,,"340,462","-1,182,153"
4,Hollenbeck,453,1,BURGLARY,40,M,H,1400    PLEASANT                     AV,,"340,517","-1,182,178"
5,Harbor,501,1,BURGLARY,0,X,X,600 W  184TH                        ST,,"338,684","-1,182,842"
5,Harbor,561,1,BURGLARY,0,X,X,700    AVERILL                      AV,,"337,329","-1,183,136"
5,Harbor,514,1,BURGLARY,67,M,F,1200 W  CRUCES                       ST,,"337,917","-1,182,776"
5,Harbor,515,1,BURGLARY,0,X,X,100 W  PACIFIC COAST                HY,,"337,948","-1,182,694"
5,Harbor,567,1,BURGLARY,0,X,X,1800 S  MESA                         ST,,"337,279","-1,182,858"
5,Harbor,507,1,BURGLARY,60,M,O,22700    DENKER                       AV,,"338,202","-1,183,037"
5,Harbor,529,1,BURGLARY,35,X,X,500    BROAD                        AV,,"337,757","-1,182,608"
1,Central,152,1,BURGLARY,33,M,W,600 S  HOPE                         ST,,"340,495","-1,182,563"
5,Harbor,505,1,BURGLARY,0,X,X,19400 S  VERMONT                      AV,,"338,524","-1,182,924"
5,Harbor,563,1,BURGLARY,35,M,W,900 W  9TH                          ST,,"337,361","-1,182,968"
5,Harbor,566,1,BURGLARY,67,M,H,1100 S  PALOS VERDES                 ST,,"337,342","-1,182,814"
5,Harbor,557,1,BURGLARY,33,M,W,800 W  3RD                          ST,,"337,415","-1,182,945"
5,Harbor,529,1,BURGLARY,39,M,H,1800 E  OPP                          ST,,"337,838","-118,24"
5,Harbor,518,1,BURGLARY,52,F,H,1700    BROAD                        AV,,"337,976","-1,182,621"
5,Harbor,509,1,BURGLARY,68,F,O,1500 W  251ST                        ST,,"337,968","-1,183,027"
11,Northeast,1124,1,BURGLARY,0,X,X,3100 N  SAN FERNANDO                 RD,,"341,149","-1,182,458"
11,Northeast,1186,1,BURGLARY,0,X,X,1800    ACADEMY                      DR,,"340,807","-1,182,425"
5,Harbor,563,1,BURGLARY,0,X,X,1000 W  15TH                         ST,,"337,306","-118,299"
5,Harbor,525,1,BURGLARY,36,M,H,300 W  D                            ST,,"337,741","-1,182,646"
5,Harbor,529,1,BURGLARY,0,X,X,500    BROAD                        AV,,"337,757","-1,182,608"
5,Harbor,526,1,BURGLARY,0,X,X,400 W  ANAHEIM                      ST,,"337,798","-1,182,665"
3,Southwest,395,1,BURGLARY,29,F,H,1800 W  VERNON                       AV,,"340,073","-1,183,108"
1,Central,159,1,BURGLARY,64,F,A,600    MATEO                        ST,,"340,378","-1,182,327"
5,Harbor,529,1,BURGLARY,44,F,H,900    FLINT                        AV,,"337,822","-1,182,495"
5,Harbor,514,1,BURGLARY,41,M,H,1200 W  PACIFIC COAST                HY,,"337,904","-1,182,777"
5,Harbor,585,1,BURGLARY,38,F,W,700 W  24TH                         ST,,"337,224","-1,182,924"
5,Harbor,565,1,BURGLARY,0,M,O,700 S  PACIFIC                      AV,,"337,365","-1,182,923"
5,Harbor,565,1,BURGLARY,0,X,X,700 S  PACIFIC                      AV,,"337,365","-1,182,923"
5,Harbor,563,1,BURGLARY,71,M,H,700 W  15TH                         ST,,"337,306","-1,182,924"
5,Harbor,505,1,BURGLARY,0,M,O,19600    PACIFIC GATEWAY              DR,,"338,533","-1,182,953"
5,Harbor,504,1,BURGLARY,0,X,X,1400 W  190TH                        ST,,"338,584","-1,183,022"
5,Harbor,507,1,BURGLARY,0,X,X,1300    STORM PARKWAY,,"33,817","-1,182,996"
5,Harbor,501,1,BURGLARY,0,X,X,18400 S  WESTERN                      AV,,"338,632","-1,183,091"
5,Harbor,526,1,BURGLARY,53,M,H,700    LAGOON                       AV,,"337,783","-1,182,675"
5,Harbor,566,1,BURGLARY,72,F,W,400 W  11TH                         ST,,"337,342","-1,182,857"
5,Harbor,569,1,BURGLARY,43,M,O,BERTH 42,BERTH 42,"337,201","-1,182,757"
5,Harbor,524,1,BURGLARY,33,M,H,700    KING                         AV,,"337,778","-1,182,753"
5,Harbor,529,1,BURGLARY,0,X,X,700    SANFORD                      AV,,"337,792","-1,182,506"
5,Harbor,526,1,BURGLARY,0,X,X,100 W  ANAHEIM                      ST,,"33,78","-1,182,624"
5,Harbor,529,1,BURGLARY,0,M,O,500 E  D                            ST,,"337,745","-1,182,568"
5,Harbor,525,1,BURGLARY,66,F,W,500    MCDONALD                     AV,,"337,751","-1,182,712"
5,Harbor,566,1,BURGLARY,36,F,H,1100 S  PALOS VERDES                 ST,,"337,342","-1,182,814"
5,Harbor,504,1,BURGLARY,0,M,O,20700    WESTERN                      AV,,"338,429","-1,183,093"
5,Harbor,567,1,BURGLARY,51,F,W,1500 S  BEACON                       ST,,"337,306","-1,182,805"
7,Wilshire,702,1,BURGLARY,0,F,O,7300    MELROSE                      AV,,"340,836","-1,183,487"
1,Central,159,1,BURGLARY,0,M,W,1300    PALMETTO                     ST,,"340,402","-1,182,329"
7,Wilshire,722,1,BURGLARY,46,M,H,400 S  SAN VICENTE                  BL,,"340,715","-1,183,764"
5,Harbor,564,1,BURGLARY,0,X,X,200 W  5TH                          ST,,"337,397","-1,182,835"
8,West LA,817,1,BURGLARY,0,X,X,1000    WESTWOOD                     BL,,"340,626","-1,184,454"
5,Harbor,551,1,BURGLARY,35,M,W,900 N  MEYLER                       ST,,"337,443","-1,183,088"
8,West LA,898,1,BURGLARY,-1,X,X,2400 S  SHENANDOAH                   ST,,"340,394","-118,385"
6,Hollywood,646,1,BURGLARY,0,X,X,6300 W  SUNSET                       BL,,"340,987","-1,183,337"
8,West LA,811,1,BURGLARY,67,F,O,16900 W  SUNSET                       BL,,"340,561","-1,185,512"
10,West Valley,1088,1,BURGLARY,63,F,O,4400    ESTRONDO                     DR,,"341,515","-1,185,017"
7,Wilshire,734,1,BURGLARY,27,F,W,300    HAUSER                       BL,,"340,693","-118,351"
9,Van Nuys,948,1,BURGLARY,71,M,H,13200    CUMPSTON                     ST,,"341,697","-1,184,208"
8,West LA,835,1,BURGLARY,0,X,X,2100    WESTWOOD                     BL,,"340,453","-1,184,329"
6,Hollywood,649,1,BURGLARY,0,X,X,5100 W  SUNSET                       BL,,"340,999","-1,183,038"
10,West Valley,1041,1,BURGLARY,55,M,W,5600    TOPEKA                       DR,,"341,742","-1,185,461"
8,West LA,881,1,BURGLARY,61,F,W,11800 W  OLYMPIC                      BL,,"34,033","-1,184,504"
11,Northeast,1142,1,BURGLARY,0,X,X,1900    HILLHURST                    AV,,"341,054","-1,182,874"
10,West Valley,1018,1,BURGLARY,0,M,W,7500    WOODLEY                      AV,,"342,066","-1,184,837"
9,Van Nuys,943,1,BURGLARY,0,X,X,14400    TIARA                        ST,,"341,785","-1,184,465"
11,Northeast,1145,1,BURGLARY,36,M,W,2400    SILVER LAKE                  BL,,"341,009","-1,182,592"
8,West LA,857,1,BURGLARY,0,X,X,9500 W  PICO                         BL,,"340,553","-118,396"
17,Devonshire,1762,1,BURGLARY,61,F,O,20500    LASSEN                       ST,,"34,25","-1,185,798"
1,Central,195,1,BURGLARY,26,M,H,1400 S  MAIN                         ST,,"340,352","-1,182,613"
7,Wilshire,778,1,BURGLARY,46,M,H,4000 W  JOHNNIE COCHRAN VISTA,,"340,425","-1,183,258"
9,Van Nuys,915,1,BURGLARY,21,F,H,6900    VAN NUYS                     BL,,"341,961","-1,184,487"
11,Northeast,1184,1,BURGLARY,46,M,W,1300    DOUGLAS                      ST,,"340,744","-1,182,516"
1,Central,174,1,BURGLARY,24,M,B,700 S  MAIN                         ST,,"340,439","-1,182,514"
